Rank,Player,Team,Position,Points,Games,Avg
793,Tim Boyle,GB,QB,-0.1,3,0
794,Nick Mullens,SF,QB,-0.3,2,-0.2
795,Garrett Gilbert,CLE,QB,-0.3,6,-0.1
796,Michael Walker,JAC,WR,-0.5,7,-0.1
797,Jarrett Stidham,NE,QB,-0.6,3,-0.2
798,Blake Bortles,FA,QB,-0.8,4,-0.2
799,Darrius Shepherd,GB,WR,-0.9,6,-0.2
800,Quincy Enunwa,FA,WR,-1.4,1,-1.4
801,Ray-Ray McCloud,PIT,WR,-2,6,-0.3
801,Greg Dortch,FA,WR,-2,2,-1
803,Corey Clement,PHI,RB,-4,4,-1
